city,year,count
"Washington, DC",2014,2405
"Washington, DC",2015,280
"Washington, DC",2016,254
"Washington, DC",2017,1859
"Washington, DC",2018,1676
"Washington, DC",2019,1575
"Washington, DC",2020,93
"Washington, DC",2021,1675
"Washington, DC",2022,2428
"Washington, DC",2023,1407
"Los Angeles, California",2014,6290
"Los Angeles, California",2015,6455
"Los Angeles, California",2016,6866
"Los Angeles, California",2017,6917
"Los Angeles, California",2018,6825
"Los Angeles, California",2019,6732
"Los Angeles, California",2020,7129
"Los Angeles, California",2021,7385
"Los Angeles, California",2022,8299
"Los Angeles, California",2023,8023
"Los Angeles, California",2024,7907
"Chicago, Illinois",2017,35161
"Chicago, Illinois",2018,6529
"Chicago, Illinois",2019,6584
"Chicago, Illinois",2021,7237
"Chicago, Illinois",2022,7267
"Chicago, Illinois",2023,7707
"Chicago, Illinois",2024,7900
"Memphis, Tennessee",2014,3330
"Memphis, Tennessee",2015,3198
"Memphis, Tennessee",2016,3487
"Memphis, Tennessee",2017,3988
"Memphis, Tennessee",2018,3892
"Memphis, Tennessee",2019,3837
"Memphis, Tennessee",2020,4269
"Memphis, Tennessee",2021,5115
"Memphis, Tennessee",2022,4833
"Memphis, Tennessee",2023,5140
"Memphis, Tennessee",2024,5170
"Portland, Oregon",2015,5207
"Portland, Oregon",2016,6897
"Portland, Oregon",2017,7374
"Portland, Oregon",2018,7967
"Portland, Oregon",2019,8163
"Portland, Oregon",2020,7915
"Portland, Oregon",2021,8486
"Portland, Oregon",2022,8265
"Portland, Oregon",2023,8337
"Portland, Oregon",2024,7925
