city,year,count,population
"Washington, DC",2014,2405,653986
"Washington, DC",2015,280,665135
"Washington, DC",2016,254,673428
"Washington, DC",2017,1859,680670
"Washington, DC",2018,1676,685476
"Washington, DC",2019,1575,687320
"Washington, DC",2020,93,670917
"Washington, DC",2021,1675,669256
"Washington, DC",2022,2428,676725
"Washington, DC",2023,1407,687324
"Los Angeles, California",2014,6290,10052585
"Los Angeles, California",2015,6455,10100900
"Los Angeles, California",2016,6866,10123015
"Los Angeles, California",2017,6917,10125014
"Los Angeles, California",2018,6825,10098683
"Los Angeles, California",2019,6732,10053252
"Los Angeles, California",2020,7129,9996634
"Los Angeles, California",2021,7385,9809239
"Los Angeles, California",2022,8299,9748447
"Los Angeles, California",2023,8023,9731837
"Los Angeles, California",2024,7907,9757179
"Chicago, Illinois",2017,6594,2756313
"Chicago, Illinois",2018,6529,2753146
"Chicago, Illinois",2019,6584,2749996
"Chicago, Illinois",2020,6438,2745196
"Chicago, Illinois",2021,7237,2706324
"Chicago, Illinois",2022,7267,2684076
"Chicago, Illinois",2023,7707,2699144
"Chicago, Illinois",2024,7900,2721308
"Portland, Oregon",2015,1167,629882
"Portland, Oregon",2016,1566,640608
"Portland, Oregon",2017,1664,645326
"Portland, Oregon",2018,1745,647912
"Portland, Oregon",2019,1987,650743
"Portland, Oregon",2020,2341,653166
"Portland, Oregon",2021,3065,642803
"Portland, Oregon",2022,2787,636093
"Portland, Oregon",2023,2576,634314
"Portland, Oregon",2024,2593,635749
"Memphis, Tennessee",2014,3330,647946
"Memphis, Tennessee",2015,3198,645387
"Memphis, Tennessee",2016,3487,642211
"Memphis, Tennessee",2017,3988,638853
"Memphis, Tennessee",2018,3892,637425
"Memphis, Tennessee",2019,3837,634994
"Memphis, Tennessee",2020,4269,628388
"Memphis, Tennessee",2021,5115,622541
"Memphis, Tennessee",2022,4833,618468
"Memphis, Tennessee",2023,5140,614587
"Memphis, Tennessee",2024,5170,610919
