city,year,count
"Los Angeles, California",2014,12498
"Los Angeles, California",2015,12947
"Los Angeles, California",2016,13019
"Los Angeles, California",2017,13020
"Los Angeles, California",2018,11400
"Los Angeles, California",2019,9741
"Los Angeles, California",2020,8172
"Los Angeles, California",2021,7724
"Los Angeles, California",2022,10473
"Los Angeles, California",2023,10608
"Los Angeles, California",2024,10438
"Portland, Oregon",2015,3881
"Portland, Oregon",2016,3904
"Portland, Oregon",2017,4368
"Portland, Oregon",2018,4339
"Portland, Oregon",2019,4192
"Portland, Oregon",2020,5458
"Portland, Oregon",2021,5072
"Portland, Oregon",2022,5991
"Portland, Oregon",2023,5030
"Portland, Oregon",2024,4578
"Memphis, Tennessee",2014,7499
"Memphis, Tennessee",2015,6664
"Memphis, Tennessee",2016,6092
"Memphis, Tennessee",2017,6163
"Memphis, Tennessee",2018,5670
"Memphis, Tennessee",2019,4966
"Memphis, Tennessee",2020,3718
"Memphis, Tennessee",2021,3177
"Memphis, Tennessee",2022,3918
"Memphis, Tennessee",2023,4606
"Memphis, Tennessee",2024,3700
