city,year,count
"Portland, Oregon",2015,4298
"Portland, Oregon",2016,5187
"Portland, Oregon",2017,7318
"Portland, Oregon",2018,6928
"Portland, Oregon",2019,6509
"Portland, Oregon",2020,6497
"Portland, Oregon",2021,9150
"Portland, Oregon",2022,10980
"Portland, Oregon",2023,8197
"Portland, Oregon",2024,5425
"Memphis, Tennessee",2014,1875
"Memphis, Tennessee",2015,1671
"Memphis, Tennessee",2016,2006
"Memphis, Tennessee",2017,2519
"Memphis, Tennessee",2018,2953
"Memphis, Tennessee",2019,2631
"Memphis, Tennessee",2020,2799
"Memphis, Tennessee",2021,3228
"Memphis, Tennessee",2022,5813
"Memphis, Tennessee",2023,11244
"Memphis, Tennessee",2024,7329
