city,year,count,population
"Washington, DC",2014,3368,653986
"Washington, DC",2015,3446,665135
"Washington, DC",2016,3000,673428
"Washington, DC",2017,2179,680670
"Washington, DC",2018,2034,685476
"Washington, DC",2019,2241,687320
"Washington, DC",2020,1998,670917
"Washington, DC",2021,2040,669256
"Washington, DC",2022,2082,676725
"Washington, DC",2023,3470,687324
"Los Angeles, California",2014,3914,10052585
"Los Angeles, California",2015,4155,10100900
"Los Angeles, California",2016,4700,10123015
"Los Angeles, California",2017,4663,10125014
"Los Angeles, California",2018,4220,10098683
"Los Angeles, California",2019,4278,10053252
"Los Angeles, California",2020,3503,9996634
"Los Angeles, California",2021,3236,9809239
"Los Angeles, California",2022,4000,9748447
"Los Angeles, California",2023,4140,9731837
"Los Angeles, California",2024,4193,9757179
"Chicago, Illinois",2017,11880,2756313
"Chicago, Illinois",2018,9684,2753146
"Chicago, Illinois",2019,7983,2749996
"Chicago, Illinois",2020,7864,2745196
"Chicago, Illinois",2021,7925,2706324
"Chicago, Illinois",2022,8973,2684076
"Chicago, Illinois",2023,11064,2699144
"Chicago, Illinois",2024,9132,2721308
"Portland, Oregon",2015,877,629882
"Portland, Oregon",2016,1013,640608
"Portland, Oregon",2017,1060,645326
"Portland, Oregon",2018,1077,647912
"Portland, Oregon",2019,995,650743
"Portland, Oregon",2020,1012,653166
"Portland, Oregon",2021,1251,642803
"Portland, Oregon",2022,1434,636093
"Portland, Oregon",2023,1234,634314
"Portland, Oregon",2024,1125,635749
"Memphis, Tennessee",2014,2210,647946
"Memphis, Tennessee",2015,1992,645387
"Memphis, Tennessee",2016,2149,642211
"Memphis, Tennessee",2017,2260,638853
"Memphis, Tennessee",2018,1980,637425
"Memphis, Tennessee",2019,1651,634994
"Memphis, Tennessee",2020,1392,628388
"Memphis, Tennessee",2021,1278,622541
"Memphis, Tennessee",2022,1566,618468
"Memphis, Tennessee",2023,1877,614587
"Memphis, Tennessee",2024,1426,610919
