city,year,count
"Los Angeles, California",2014,10901
"Los Angeles, California",2015,11638
"Los Angeles, California",2016,12548
"Los Angeles, California",2017,11881
"Los Angeles, California",2018,10672
"Los Angeles, California",2019,10178
"Los Angeles, California",2020,10607
"Los Angeles, California",2021,9790
"Los Angeles, California",2022,10430
"Los Angeles, California",2023,10091
"Los Angeles, California",2024,10247
"Portland, Oregon",2015,5943
"Portland, Oregon",2016,5847
"Portland, Oregon",2017,6291
"Portland, Oregon",2018,6204
"Portland, Oregon",2019,6290
"Portland, Oregon",2020,8318
"Portland, Oregon",2021,9510
"Portland, Oregon",2022,12028
"Portland, Oregon",2023,10365
"Portland, Oregon",2024,6836
